testimony_id,no end,no beginning,comments,monologue,not segment and not monologue,pass or fail,time stamps in the file,only answers and not monologue,other,only questions,presence of odd words
irn513365,1,,,,,1,,,,,
irn507290,1,,,,,1,,,,,
irn511663,,,"Missing interview, PDF not found.",,,1,,,1,,
irn514126,0,1,,,,1,,,,,1
irn504669,,,,,,0,,,,,
irn507486,,,Interview suddenyl interrupted by Preface text,,,1,1,,,,
irn508663,0,,,,,1,,,,,
irn38054,1,,,,,1,,,,,
irn503612,1,1,"pdf missing, interview info not complete",,,1,1,1,1,,
irn510636,1,1,,,,1,,,,,
irn508627,,0,,,,1,,,,,
irn510706,0,,,,,1,,,,,
irn42214,,,,,,0,,,,,
irn510682,,,,,,0,,,,,
irn504901,1,1,,,,1,,,,,
irn509119,0,,,,,1,,,,,
irn518063,,,,,,0,,,,,
irn511271,,0,,,,1,,,,,
irn539330,,,a few answers are labeled question,,,1,,,1,,
irn47382,,,,,,0,,,,,
irn511033,,1,Segments are missing. ,,,1,,,1,,
irn509678,,,No interview in PDF,,,0,,,1,,
irn516539,,,,,,,,,,,
irn42203,,,,,,0,,,,,
irn506702,,,,,,0,,,,,
irn510460,1,,,,,1,,,,,
irn508661,0,,"Two links to PDF, the first only leads to a summary of transcript. Missing ending statement. ",,,1,,,,,
irn511698,1,1,no interview or pdf,,,1,,,1,,
irn519799,,,,,,0,,,,,
irn507289,,,Non-segment only occurs a couple of times. ,,1,1,,,,,
irn511032,,0,missing chunks of interview in pdf,,,1,,,1,,
irn510713,,,,,,0,,,,,
irn514097,,,missing parts of interview ,,1,1,,,1,,
irn506573,0,,Begins by listing the note-taker,,,1,1,,1,,
irn504904,,,,,,0,,,,,
irn507286,,,,,,0,,,,,
irn511652,,,"Missing interview, PDF not found",,,1,,,1,,
irn511060,1,,,,,1,,,,,
irn505556,1,1,,,,1,,,,,1
irn513371,,,"Presence of details about the tape mid-interview, ""Side A"" etc. ",,,1,,,,,1
irn504832,,,,,,0,,,,,
irn504739,1,,,,,1,,,,,
irn506628,,,,,,0,,,,,
irn511630,0,,,,,1,1,,,,
irn96023,,,,,,0,,,,,
irn517206,,,,,,0,,,,,
irn511666,,,"Missing interview, PDF not found",,,1,,,1,,
irn508660,0,,,,,1,,,,,
irn505570,0,0,,1,,1,,,,,1
irn510474,0,,,,,1,,,,,
irn506728,,,,,,0,,,,,
irn518253,1,,,,,1,,,,,
irn509130,,,,,,0,,,,,
irn96010,,,,,,0,,,,,
irn515626,0,,PDF seems to be a summary/third person description of transcript,,,1,,,,,
irn510629,1,1,,,,1,,,,,
irn509158,1,,,,,1,,,,,
irn42206,,,,,,0,,,,,
irn49647,1,,,,,1,,,,,
irn41505,,,,,,0,,,,,
irn507557,,,,,,0,,,,,
irn507437,,,Preface text,,,1,,,1,,
irn509407,,,,,,0,,,,,
irn510607,1,1,,,,1,,,,,
irn511322,1,1,,,,1,,,,,1
irn41519,,,,,,0,,,,,
irn507294,1,,,,,1,,,,,
irn512511,1,1,"Missing interview, PDF not found",,,1,,,,,
irn509058,,,,,,0,,,,,
irn509079,1,,"PDF is just a summary of transcript, missing transcript in PDF",,,1,,,,,
irn506720,1,,,,,1,,,,,
irn518984,,,Non-segment only occurs once,,1,1,,,,,
irn38079,,,,,,0,,,,,
irn514926,0,,"""End of tape four..."" in middle of interview, Preface text at beginning",,,1,,,1,,
irn510670,,,,,,0,,,,,
irn37871,,,,,1,1,,,,,
irn504896,1,1,,,,1,,,,,1
irn506719,,,,,,0,,,,,
irn508683,,,,,,0,,,,,
irn507489,,1,,,,1,1,,,,
irn510728,0,,,,,1,,,,,
irn508788,0,,Begins with odd text. ,,,1,,,1,,
irn510711,0,,,,,1,,,,,
irn511677,,,"Missing interview, PDF not found",,,1,,,1,,
irn510694,1,,,,,1,,,,,
irn511696,,,"Missing interview, PDF not found",,,1,,,1,,
irn509149,,,,,,0,,,,,
irn511058,0,1,Chunks of interview missing. PDF seems to be missing the interviewers' questions as well. ,,,1,,1,,,
irn506714,,,,,,0,,,,,
irn506671,1,,,,,1,,,,1,
irn41504,,,,,,0,,,,,
irn506700,,1,,,,1,,,,,
irn509061,,,,,,0,,,,,
irn504660,,,,,,1,1,,,,
irn504899,,,,,,0,,,,,
irn74541,,,"Unidentified speaker non-segmented, also, some of the fragments of unidentified speaker appear in the PDF but not he online transcript",,,1,,,1,,
irn504835,,,,,,0,,,,,
irn504923,,,,,,0,,,,,
irn84819,,,,,,0,,,,,
irn77778,,,,,,0,,,,,
irn59190,,,,,,0,,,,,
irn508668,,,"""Tape 1 side 2"" in the middle of interview",,,1,,,,,1
irn510745,,,,,,,,,,,
irn506695,,,,,,0,,,,,
irn508775,0,0,,,1,1,,,,,
irn517852,,,,,,0,,,,,
irn514874,,,,,,,,,,,
irn502341,,,,,,0,,,,,
irn505584,,,"Begins with Preface text, and ends with details of tape",1,,1,,,1,,1
irn41719,,,,,,,,,,,
irn504441,,,Missing spaces between words and symbols. ,,,1,,,,,1
irn508494,1,1,,,,1,,,,,
irn510658,1,,,,,1,,,,,
irn513722,,,,,,,,,,,
irn511051,1,1,"missing chunnks of interview, spacing",,,1,,,1,,
irn96021,,,,,,0,,,,,
irn508727,1,1,,,,1,,,,,
irn506646,,,,,,,,,,,
irn518490,,,,,,0,,,,,
irn516148,,,,,,0,,,,,
irn504890,1,,missing part of transcript,,,1,,,1,,
irn510699,,,,,,,,,,,
irn506731,,,,,,0,,,,,
irn41499,,,,,,0,,,,,
irn37541,1,,,,,1,,,,,
irn514469,,,Parenthesis error.,,,1,,,,,1
irn508679,,,,,,0,,,,,
irn508466,,,,,,,,,,,
irn506683,,,,,,0,,,,,
irn506665,,,,,,0,,,,,
irn510464,0,,,,,1,,,,,
irn509736,,,,,,0,,,,,
irn508726,0,,,,,1,,,,,1
irn508622,,0,,,,1,,,,,1
irn510742,0,1,,,1,1,,,,,1
irn510472,0,0,,,1,1,,,,,
irn511269,1,0,,,1,1,,,,,1
irn511336,0,1,,,,1,,,,,
irn510700,0,,,,,1,,,,,
irn511675,1,1,"Missing, pdf not found",,,1,,,,,
irn504672,,,,,,0,,,,,
irn504724,,,,,,0,,,,,
irn510705,1,,,,,1,,,,,
irn39795,,,,,,0,,,,,
irn510655,0,,,,,1,,,,,
irn513716,,,,,,0,,,,,
irn504806,,,,,,0,,,,,
irn510678,,,,,,0,,,,,
irn82740,,,,,,0,,,,,
irn508692,,,,,,0,,,,,
irn511264,1,1,,,,1,,,,,1
irn511667,,,interview and pdf blank,,,,,,1,,
irn511320,0,1,,,,1,,,,,1
irn510673,0,,Non-segmented error occurs only a couple of times. ,,1,1,,,,,
irn510487,1,,include date,,,1,,,,,
irn507561,,,,,,0,,,,,
irn506697,,,,,,0,,,,,
irn508634,,,"strange arrows, three links to PDF",,,1,,,1,,
irn507292,1,,,,,1,,,,,
irn515623,1,,,,,1,,,,,
irn504428,,,,,,0,,,,,
irn510480,1,,,,1,1,,,,,
irn511261,0,,"Begins with odd text and a summary of the transcript, probably data processing error",,,1,,,1,,
irn511287,0,0,,,,1,,,,,
irn507579,,,,,,0,,,,,
irn504933,,,,,,0,,,,,
irn505559,,0,,,1,1,,,,,1
irn505582,0,0,,,1,1,,,,,
irn59191,1,,,,,1,,,,,
irn508790,,0,beggining contains a part of the doc that isn't the interview,,,1,,,,,
irn506707,,,,,,0,,,,,
irn531225,,,non-segment only happens once,,1,1,,,,,
irn508736,1,0,,,,1,,,,,
irn511346,1,1,,,,1,,,,,
irn42728,,,,,,0,,,,,
irn510659,1,,,,,1,,,,,
irn511323,0,0,,,,1,,,,,
irn509133,1,1,contains abstract,,,1,,,1,,1
irn506748,,,,,,0,,,,,
irn74538,,0,,,,1,,,,,
irn509152,,,,,,0,,,,,
irn510114,,,,,,0,,,,,
irn504887,,,,,,0,,,,,
irn510685,1,,,,,1,,,,,
irn511018,1,0,,,1,1,,,,,1
irn517613,,,,,,0,,,,,
irn76764,0,,,,,1,1,,,,
irn84331,0,0,"No interview, missing",,,1,1,,,,
irn513375,0,,"acceptable end, but doesn't match pdf",,,1,,,,,
irn510606,1,1,,,,,,,,,
irn510612,1,1,,,,1,,,,,
irn510736,1,0,,,,1,,,,,
irn504815,1,,,,,1,,,,,
irn76711,,,,,,0,,,,,
irn504727,,,Non-segment only happens a couple of times. ,,1,0,,,,,
irn504697,,1,,,,1,,,,,
irn510465,0,,,,,1,,,,,
irn504579,1,,,,,1,,,,,
irn510456,1,,,,,1,,,,,
irn510669,0,,Non-segment only happens once,,1,1,,,,,
irn510671,1,,,,,1,,,,,
irn42014,,,,,,0,,,,,
irn511303,0,0,Non-segments happen in parts where SIDI speaks. ,,1,1,,,,,
irn511230,1,1,,,,1,,,,,1
irn515007,,,,,,0,,,,,
irn510657,0,,,,,1,,,,,
irn510688,,,,,,0,,,,,
irn511229,1,1,,,,1,,,,,1
irn507578,,,,,,0,,,,,
irn514183,,,Non-segment only occurs a couple of times. ,,1,1,,,,,
irn504605,,,,,,0,,,,,
irn510667,0,,,,,1,,,,,
irn506703,,,,,,0,,,,,
0,,,,,,,,,,,
irn504768,1,0,,,,1,,,,,
irn512536,,,"missing arouns 3/4 of interview, even in PDF, interview not exactly structured question and answer",,,1,1,,1,,
irn518489,,,,,,0,,,,,
irn506634,,,"First lines are not segmented, ",,1,1,,,,,
irn504908,,,,,,0,,,,,
irn41498,,,,,,0,,,,,
irn76709,,,,,,0,,,,,
irn506523,,,"Missing chunks of interview, lines cut-off. ",,,1,,,1,,
irn504713,,,"Missing chunks of interview, many of the answers. ",,,1,,,1,,
irn513362,,,,,,0,,,,,
irn511664,,,"Missing interview, PDF is available. ",,,1,,,1,,
irn509195,,,"""End of tape two"" in middle of interview",,,1,,,,,1
irn506670,,,,,,0,,,,,
irn518937,,,,,,0,,,,,
irn504913,,,,,,0,,,,,
irn519093,,,,,,0,,,,,
irn515631,,,,,,0,,,,,
irn508694,0,,,,,1,,,,,
irn504709,,,,,,0,,,,,
irn505585,0,,"Preface text at beginning, Tape information at end. ",,1,1,,,,,1
irn508730,,,,,,0,,,,,
irn76761,,,Not segmented between interviewer and speaker,,1,1,1,,,,
irn42208,,,,,,,,,,,
irn506636,,,,,,0,,,,,
irn510752,,,,,,0,,,,,
irn506673,,,"Non-segment only occurrs a couple of times, information about tape mid-interview ""[break]""",,1,1,,,,,
irn507287,,,,,0,0,,,,,
irn39436,,,,,,0,,,,,
irn508733,0,,,,,1,,,,,
irn508655,1,,,,,1,,,,,
irn504840,,,,,,,,,,,
irn504868,,,,,,,,,,,
irn518786,,,,,,,,,,,
irn508719,,,,,,,,,,,
irn509217,,,,,,,,,,,
irn505575,,,,,,,,,,,
irn505563,,,,,,,,,,,
irn42218,,,,,,,,,,,
irn511025,,,,,,,,,,,
irn507434,,,,,,,,,,,
irn511352,,,,,,,,,,,
irn510724,,,,,,,,,,,
irn505557,,,,,,,,,,,
irn514865,,,,,,,,,,,
irn511245,0,,Preface text at the beginning,,,1,,,1,,
irn513372,0,,"Missing the very last line, but it's just the interviewer responding",,,1,,,,,
irn538189,,,Ends with technical information about tape. ,,1,1,,,1,,
irn506691,,,,,,0,,,,,
irn504581,,,,,,0,,,,,
irn505562,0,,"Preface text in the beginning, odd words at the end",,1,1,,,1,,1
irn511276,0,,Preface text in the beginning,,,1,,,1,,
irn510459,,,,,,,,,,,
irn510453,,,,,,,,,,,
irn511661,,,,,,,,,,,
irn508260,,,,,,,,,,,
irn511349,,,,,,,,,,,
irn504675,,,,,,,,,,,
irn511691,,,,,,,,,,,
irn507556,,,,,,,,,,,
irn514242,,,,,,,,,,,
irn509198,,,,,,,,,,,
irn504826,,,,,,,,,,,
irn39792,,,,,,,,,,,
irn504520,,,,,,,,,,,
irn504804,,,,,,0,,,,,
irn511281,,,,,,,,,,,
irn514118,0,,Presence of odd words related to tape information,,,1,1,,,,1
irn42204,,,,,,,,,,,
irn506717,,,,,,0,,,,,
irn512782,,,,,,0,,,,,
irn508255,,,,,,,,,,,
irn508720,,,,,,,,,,,
irn506652,1,1,,,,1,,,,,
irn511047,,1,missing chunks of pdf,,,1,,,1,,
irn509138,1,0,,,,1,,,,,1
irn508802,,,,,,,,,,,
irn504803,1,1,,,,1,,,,,
irn506737,,,,,,0,,,,,
irn510729,,,,,,0,,,,,
irn508635,,,,,,,,,,,
irn96012,,,,,,0,,,,,
irn516733,,,,,,,,,,,
irn39788,,,,,,,,,,,
irn42017,,,,,,,,,,,
irn514875,,,,,,,,,,,
irn504696,,,,,,,,,,,
irn504934,,,,,,,,,,,
irn504875,,,,,,,,,,,
irn504937,,,,,,,,,,,
irn39026,,,,,,,,,,,
irn505573,,,,,,,,,,,
irn510486,1,,"beggining deviation from pdf, single segmentation issue",,1,1,,,1,,
irn504842,,,,,,0,,,,,
irn504728,,,,,,,,,,,
irn515622,,,,,,0,,,,,
irn505580,,,,,,,,,,,
irn510696,,,,,,,,,,,
irn508647,,,,,,,,,,,
irn42272,,,,,,,,,,,
irn504927,,,,,,,,,,,
irn509709,,,,,,,,,,,
irn509219,,,,,,,,,,,
irn506708,,,,,,,,,,,
irn506554,,,,,,,,,,,
irn509185,,,,,,,,,,,
irn507526,,,,,,,,,,,
irn510693,,,,,,0,,,,,
irn506627,,,,,,,,,,,
irn510479,,,,,,,,,,,
irn54250,,,,,,,,,,,
irn508741,,,,,,,,,,,
irn509203,1,,beginning deviation from pdf,,,1,,,1,,
irn42205,,,,,,,,,,,
irn504637,,,,,,0,,,,,
irn48151,,,,,,,,,,,
irn517891,1,1,,,1,1,,,,1,1
irn517612,,,,,,,,,,,
irn507524,,,,,,,,,,,
irn504542,,,,,,,,,,,
irn39242,,,,,,0,,,,,
irn504456,0,1,,,,1,,,,,
irn507491,0,,"Preface text, ",,,1,1,,1,,1
irn504736,,,,,,1,,,,,1
irn518252,,,,,,,,,,,
irn507492,0,,"Preface text, ",,,1,1,,,,
irn511270,0,,"Preface text, a lot of (? inaudible ?), which is different from the general format of [inaudible]",,,1,,,,,
irn508493,,,,,,,,,,,
irn511674,,,,,,,,,,,
irn508724,,,,,,,,,,,
irn507375,,,,,,,,,,,
irn508254,,,,,,,,,,,
irn505571,,,,,,,,,,,
irn41503,,,,,,,,,,,
irn506635,,,,,,,,,,,
irn508649,,,,,,,,,,,
irn511019,,,,,,,,,,,
irn506727,,,,,,,,,,,
irn538191,,,spacing issues,1,1,1,,,1,,
