testimony_id,no end,no beginning,comments,monologue,not segment and not monologue,pass or fail,time stamps in the file,only answers and not monologue,other,only questions,presence of odd words
irn509172,0,,,,,1,,,,,
irn511274,,,Preface text at the beginning,,,1,,,,,
irn506744,,,,,,,,,,,
irn510653,0,,,,,1,,,,,
irn514868,,,,,,,,,,,
irn510723,0,,,,,1,,,,,
irn42211,,,,,,,,,,,
irn511078,,,,,,,,,,,
irn510620,,,,,,,,,,,
irn509141,0,,"Odd text at beginning, ",,,1,,,1,1,
irn508693,,,,,,,,,,,
irn96011,,,,,,,,,,,
irn507550,,,,,,,,,,,
irn504925,,,,,,,,,,,
irn511048,,,,,,,,,,,
irn511291,,,,,,,,,,,
irn508725,,,,,,,,,,,
irn504810,,,,,,,,,,,
irn505565,,,,,,,,,,,
irn505553,,,,,,,,,,,
irn508470,,,,,,0,,,,,
irn78261,,,,,,,,,,,
irn36771,,,,,,,,,,,
irn508738,,,,,,,,,,,
irn503606,,,,,,,,,,,
irn504894,,,,,,,,,,,
irn504553,1,,,,,1,,,,,
irn510461,1,0,end deviation from pdf,,,1,,,1,,
irn510619,1,1,,,,1,,,,,
irn509060,,1,,,,1,,,,,
irn538176,,,,,,,,,,,
irn508689,0,,,1,1,1,,,,,
irn505566,,,,,,,,,,,
irn510467,,,,,,,,,,,
irn506740,,,,,,0,,,,,
irn510686,,,,,,,,,,,
irn510632,,,,,,,,,,,
irn505579,1,1,"large deviation from pdf, answers/questions not labeled",,1,1,,,1,,
irn510730,,,,,,0,,,,,
irn508316,,,,,,0,,,,,
irn506626,,,,,,0,,,,,
irn538186,,,,1,1,1,,,,,1
irn507293,1,,,,,1,,,,,
irn36914,1,,,,,1,,,,,
irn509190,0,0,,,,1,,,,,
irn504461,1,,both issues in end,,,1,,,1,,
irn42213,,,,,,0,,,,,
irn504641,,,,,,0,,,,,
irn511050,0,0,missing chunks of transcription,,,1,,,,,1
irn43897,,,,,,0,,,,,
irn504915,,,,,,0,,,,,
irn38063,1,,,,,1,,,,,
irn508737,0,,,,,1,,,,,
irn508688,0,,,,,1,,,,,
irn519107,1,,,,1,1,,,,,
irn511354,1,1,end deviation pdf,,,1,,,1,,
irn511067,,1,"beginning deviation pdf, missing chunks of transcription",,,1,,,1,,
irn508671,1,1,end deviation pdf,,,1,,,,,
irn504469,,,,,,0,,,,,
irn510702,1,,,,,1,,,,,
irn504856,1,,,,,1,,,,,
irn511260,1,1,,,,1,,,,,1
irn510707,0,,,,,1,,,,,
irn511237,1,1,large deivation from pdf,,,1,,,,,
irn508667,,,,,,0,,,,,
irn59199,,,,,,0,,,,,
irn506637,,,pdf not found,,,1,,,1,,
irn508646,1,,end deviation from pdf,,,1,,,1,,
irn59193,,,,,,0,,,,,
irn504629,,,,,,0,,,,,
irn506726,,,,,,0,,,,,
irn510477,1,0,end deviation pdf,,,1,,1,,,
irn505577,,,,,,,,,,,
irn511267,1,1,both issues in beginning and end,,,1,,,1,,1
irn511653,,,missing pdf nd transcription,,,1,,,1,,
irn518702,,1,,,,1,,,,,
irn508632,1,1,large deviation from pdf,,,1,,,,,1
irn518264,0,,,,,1,,,,,
irn508685,0,,,,1,1,,,,,
irn504849,,,,,,0,,,,,
irn504740,1,,,,,1,,,,,
irn509202,1,,both issues in end,,,1,,,1,,
irn538192,,,,1,,1,,,,,
irn506715,,,,,,0,,,,,
irn509676,,,,,,0,,,,,
irn511023,,0,,,,1,,,,,1
irn511247,1,1,deviation from pdf in begining/end,,,1,,,1,,1
irn76763,0,,questions and answers not labeled,,1,1,1,,,,
irn506699,,,,,,0,,,,,
irn504429,,,,,,0,,,,,
irn506736,,,,,,0,,,,,
irn501895,,,,,,0,,,,,
irn511077,0,0,missing chunks of transcription,,1,1,1,,1,,1
irn509125,1,,,,,1,,,,,
irn508653,0,,,,,1,,,,,
irn509085,0,,,,,1,,,,,
irn42209,,,,,,0,,,,,
irn508734,0,,,,,1,,,,,1
irn516104,1,,,,,1,,,,,
irn74540,,,,,,0,,,,,
irn511334,1,1,large deviation from pdf,,,1,,,1,,1
irn504682,,,,,,0,,,,,
irn504926,,,,,,0,,,,,
irn508658,0,,,,,1,,,,,
irn511235,1,0,missing last line,,,1,,,1,,1
irn510751,0,,,,,1,,,,,
irn510681,0,,,,,1,,,,,
irn509100,1,1,both issues in end,,,1,,,1,,
irn511686,,,pdf not found and text not denoted as question/answers,,,1,,,1,,
irn511295,1,1,large deviation from pdf,,,1,,,1,,
irn506643,,,,,,0,,,,,
irn62053,,,pdf but no transcription,,,1,,,1,,
irn46884,,,,,,0,,,,,
irn508650,,,,,,0,,,,,
irn507299,,,,,,,,,,,
irn506633,,,,,,0,,,,,
irn511659,,,missing pdf and transcription,,,1,,,1,,
irn513370,,,missing majority of pdf,,,1,,,1,,
irn511350,1,1,both issues in end,,,1,,,1,,
irn506746,0,,,,,1,,,,1,
irn508681,,,,,,,,,,,
irn508638,,0,,,,1,,,,,1
irn506750,,,,,,0,,,,,
irn504897,,,,,,0,,,,,
irn510656,0,,,,,1,,,,,
irn515640,1,,end deviation from pdf,,,1,,,1,,
irn509083,,,,,,,,,,,
irn511342,,,,,,,,,,,
irn510721,,,,,,,,,,,
irn510471,,,,,,,,,,,
irn504614,,,,,,,,,,,
irn515641,,,,,,,,,,,
irn507291,,,,,,,,,,,
irn525817,,,,,,,,,,,
irn504723,,,,,,,,,,,
irn508463,,,,,1,1,,,,,
irn504831,1,,end deviation from pdf,,,,,,,,
irn510735,,1,,,,1,,,,,
irn508680,0,,,,,1,,,,,
irn509175,1,1,large deviation from pdf,,,1,,,,,1
irn511680,,,"fragment of transcription, missing pdf",,,1,,,,,1
irn41501,,,,,,1,,,,,
irn506753,,,,,,0,,,,,
irn506733,,1,,,,1,,,,,
irn42019,1,,,,,1,,,,,
irn508735,0,,,,,1,,,,,
irn510683,,,,,,0,,,,,
irn514867,,,,,,0,,,,,
irn509147,1,,ending deviates from pdf,,,1,,,1,,
irn82915,,,,,,0,,,,,
irn504852,1,,,,,1,,,,,
irn504845,,,,,,0,,,,,
irn510665,0,,,,,1,,,,,
irn508696,,,,,,0,,,,,
irn504646,1,,,,,1,,,,,
irn508641,,0,,,,1,,,,,1
irn515649,0,,,,,1,,,,,
irn508257,,,,,,0,,,,,
irn76758,1,1,,,1,1,1,,,,
irn504855,1,,end deviation from pdf,,,1,,,1,,
irn517856,1,,,,,1,,,,,
irn509708,1,,,,,1,,,,,
irn506747,,,,,,0,,,,,
irn506644,,,,,,0,,,,,
irn504928,,,,,,0,,,,,
irn505574,,,,,,,,,,,
irn36532,1,1,large deviation from pdf,,,1,,,1,,
irn511268,1,1,,,,1,,,1,,
irn515639,1,,both issues in end,,,1,,,1,,
irn506705,1,,,,,1,,,,,
irn509156,0,0,signifigant difference from pdf,,,1,1,,1,,
irn510732,0,,,,,1,,,,,
irn506752,,,,,,0,,,,,
irn509382,,,,,,0,,,,,
irn510733,,,,,,,,,,,
irn504734,1,1,,,,1,,,,,
irn505576,1,1,"large deviation from pdf, questios/answers not specified",,1,1,,,1,,1
irn506574,1,1,"large deviation, missing chunks of transcription",,,1,,,1,,
irn504430,,,,,,0,,,,,
irn511066,1,1,"large deviation from pdf, missing chunks of transcription",,,1,,,1,,
irn509082,0,,,,,1,,,,,
irn59539,1,,,,,1,,,,,
irn504607,,,,,,1,1,,,,
irn510674,1,,end deviation from pdf,,,1,,,1,,
irn511660,,,"pdf not found, questions and answers not specified",,,1,,,1,,
irn40106,,,,,,0,,,,,
irn508706,1,,,,,1,,,,,
irn42212,,,,,,0,,,,,
irn510709,1,,both issues in end,,,1,,,1,,
irn511263,1,1,"beginning deviates from pdf, end cut short",,,1,,,1,,
irn42217,,,,,1,1,,,,,
irn511338,,1,processes extraneous parts of pdf,,,1,,,1,,1
irn504912,1,,,,,1,,,,,
irn509193,1,,both issues in end,,,1,,,1,,
irn515619,0,,,,,1,,,,,
irn510710,1,,end deviation from pdf,,,1,,,1,,
irn506721,,,,,,0,,,,,
irn74534,,,,,,0,,,,,
irn506653,,,,,,0,,,,,
irn36918,,,,,,0,,,,,
irn85511,0,,,,,1,,,,,
irn511695,,,missing pdf and transcript,,,1,,,1,,
irn515632,1,1,large deivation from pdf,,,1,,,1,,
irn511046,1,1,missing chunks of transcription from pdf,,,1,,,1,,
irn508695,q,,both issues in end,,,1,,,1,,
irn506640,,,,,,0,,,,,
irn511521,1,,,,,1,,,,,
irn47384,,,,,,0,,,,,
irn506701,,,,,,0,,,,,
irn509098,0,,,,,1,,,,,
irn506698,,,,,,0,,,,,
irn511258,1,1,begining and end have large deviations from pdf,,,1,,,,,1
irn508468,,,,,,0,,,,,
irn538194,1,,end deviation from pdf,,,1,,,1,,
irn506713,,,,,,0,,,,,
irn515647,0,0,,,,1,,,,,1
irn504900,,,,,,0,,,,,
irn508645,1,0,end deviation in pdf,,,1,,,1,,1
irn510654,0,,,,,1,,,,,
irn511236,1,1,beginning deviation frfom pdf,,,1,,,,,1
irn504932,,,,,,0,,,,,
irn508631,,,,,,0,,,,,
irn511324,1,1,,,,1,,,,,
irn505558,0,1,questions and anawers not marked,,1,1,,,1,,1
irn509677,,,,,,0,,,,,
irn509674,,,,,,0,,,,,
irn509707,,,,,,0,,,,,
irn504533,,,,,,0,,,,,
irn514103,,,,,,0,,,,,
irn508472,,,,,,0,,,,,
irn515628,0,,,,,1,,,,,
irn509171,0,,,,,1,,,,,
irn41500,,,,,,0,,,,,
irn508686,0,,,,,1,,,,,
irn507576,,,,,,0,,,,,
irn519157,,,,,,,,,,,
irn503602,,,missing transcription,,,1,,,1,,
irn511353,1,1,large deviation from pdf,,1,1,,,,,1
irn58656,,,,,,0,,,,,
irn504812,,,,,,0,,,,,
irn47856,,0,missing parts of pdf,,,1,,,1,,
irn514873,,,,,,0,,,,,
irn42219,,,,,,0,,,,,
irn55166,,,,,,0,,,,,
irn506664,,,,,,0,,,,,
irn504838,,,,,,0,,,,,
irn511315,1,1,both issues in beginning and end,,,1,,,1,,1
irn45042,,,,,,0,,,,,
irn510635,1,1,,,,1,,,,,
irn515627,0,1,,,,1,,,,,
irn504902,,,,,,0,,,,,
irn90100,,,,,,0,,,,,
irn504802,1,,,,,1,,,,,
irn510744,,1,,,,1,,,,,
irn511246,1,1,large deviation from pdf,,,1,,,1,,1
irn508740,1,,end deviation from pdf,,,,,,,,
irn507553,,,,,,,,,,,
irn506729,,,,,,,,,,,
irn510627,1,1,missing last line of pdf,,,1,,,1,,
irn44160,0,,,,,1,,,,,
irn511055,1,1,"missing chunks of transcription, questions missing in pdf",,,1,,1,1,,
irn509086,,,,,,0,,,,,
irn506711,,,,,,,,,,,
irn510740,,,,,,0,,,,,
irn514871,,,,,,0,,,,,
irn504918,,0,missing parts of pdf,,,1,,,1,,
irn39024,,,,,,0,,,,,
irn39680,,,,,,0,,,,,
irn510476,,,,,,0,,,,,
irn510725,0,,,,,1,,,,,
irn505569,1,1,all around processing issues,,1,1,,,1,,1
irn41535,,,,,,0,,,,,
irn511293,1,1,large deviation from df,,,1,,,,,1
irn509174,,,,,,0,,,,,
irn511678,,,missing transcription and pdf,,,1,,,1,,
irn508699,,,,,,0,,,,,
irn38068,,,,,,0,,,,,
irn42727,,,missing chunks of trancsription,,,1,,,1,,
irn507478,0,0,,,,1,,,1,,1
irn509406,,,,,,0,,,,,
irn511240,1,1,beginning and end deviation from pdf,,,1,,,1,,1
irn508643,,,,,,,,,,,
irn504844,1,,,,,1,,,,,
irn511306,1,1,beginnig and end deviation from pdf,,,1,,,1,,1
irn511690,,,missing transcription and pdf,,,1,,,1,,
irn515634,0,,missing parts of transription,,1,,,,1,,
irn510608,1,1,,,,1,,,,,
irn42210,1,,,,,1,,,,,
irn514104,1,,end deviation from pdf,,,1,,,1,,
irn515645,0,,,,,1,,,,,
irn509088,1,1,both issues in end,,,1,,,1,,
irn504770,1,,,,,1,,,,,
irn507525,,,,,,0,,,,,
irn506759,1,,,,,1,,,,,
irn510485,1,,both issues in end,,,1,,,1,,
irn504898,1,,,,,1,,,,,
irn508258,,,,,,,,,,,
irn47383,,,,,,,,,,,
irn510652,1,0,,,,1,,,,,
irn506448,1,,,,,1,,,,,
irn509187,1,,both issues present in end,,,,,,1,,
irn507560,,,,,,,,,,,
irn509184,0,,,,,1,,,,,
irn504891,,,,,,0,,,,,
irn510618,1,1,both issues in end,,,1,,,1,,
irn504561,,,,,,,,,,,
irn36962,,,,,,0,,,,,
irn515580,,,,,,1,,,,,
irn509104,1,1,both issues in end,,,1,,,1,,
irn506693,,,,,,0,,,,,
irn508467,,,,,,0,,,,,
irn508462,,,,,,,,,,,
irn504837,1,,,,,1,,,,,
irn504888,,,,,,,,,,,
irn511693,,,,,,,,,,,
irn508259,,,,,,,,,,,
irn41508,,,,,,,,,,,
irn515648,,,,,,,,,,,
irn508651,,,,,,0,,,,,
irn510191,,,,,,0,,,,,
irn511283,1,1,,,,1,,,,,
irn510704,0,,,,,,,,,,
irn41520,,,,,,,,,,,
irn508666,1,0,beginning deviation from pdf,,,1,,,1,,
irn538184,,1,beginning deviation from pdf,,,1,,,1,,
irn512891,,,,,,,,,,,
irn504583,,,,,,,,,,,
irn511232,1,0,beginning and end deviation from pdf,,,1,,,1,,1
irn511210,1,1,ending of transcript isn't in ny of the pdfs,,,1,,,1,,
irn511022,,,,,,,,,,,
irn504892,,,,,,0,,,,,
irn504836,1,,end deviation from pdf,,,1,,,,,
irn510622,1,,end s not propper and cut off in trnscription,,,1,,,1,,
irn42020,,,,,,0,,,,,
irn510749,0,,,,,1,,,,,
irn508636,,,,,,,,,,,
irn74539,,,,,,0,,,,,
irn506778,,,,,,0,,,,,
irn510478,,,,,,,,,,,
irn504848,1,,end deviation from pdf,,,1,,,1,,
irn510692,1,,,,,1,,,,,
irn511031,1,1,missing chunks of the interview,,,1,,,1,,
irn508256,,,,,,0,,,,,
irn516009,,,,,,,,,,,
irn504666,,,,,,0,,,,,
irn509142,,1,,,,1,,,,,
irn514872,,,,,,0,,,,,
irn511308,1,1,large deviation from pdf,,,1,,,1,,1
irn515624,1,,,,,1,,,,,
irn517893,,,,,,0,,,,,
irn511316,1,1,large deviation from pdf,,,1,,,1,,1
irn509180,1,,end deviation from pdf,,,1,,,1,,
irn507577,,,,,,0,,,,,
irn510555,,,,,,0,,,,,
irn510712,1,,,,,1,,,,,
irn59196,,,,,1,1,,,,,
irn506756,,,,,,0,,,,,
irn509213,,,,,1,1,,,,,
irn504886,,,,,,,,,,,
irn508465,,,,,,0,,,,,
irn504863,1,,,,,1,,,,,
irn524114,1,,,,,1,,,,,
irn508718,0,,,,,1,,,,,
irn504833,1,1,,,,1,,,,,
irn76762,,,,,,,,,,,
irn516911,,,,,,,,,,,
irn510475,,,,,,,,,,,
irn511694,,,,,,,,,,,
irn514858,,,,,,,,,,,
irn510691,,,,,,,,,,,
irn506716,,,,,,,,,,,
irn506741,,,,,,,,,,,
irn508648,,,,,,,,,,,
irn79568,1,,,,,1,,,,,
irn511685,,,missing pdf and transcription,,,1,,,1,,
irn506659,,,,,,0,,,,,
irn507500,1,1,,,,1,,,,,1
irn511062,1,1,missing transcription,,,1,,,1,,
irn506492,1,1,large deviation from pdf,,,1,,,1,,
irn518604,1,,,,,1,,,,,
irn510644,1,,processing error also present in end,,,1,,,1,,
irn510621,1,1,both errors in end,,,1,,,1,,
irn509087,,,,,,0,,,,,
irn510628,1,1,both issues in end,,,1,,,1,,
irn504460,1,,missing last two lines of interview,,1,1,,,,,
irn516136,1,,,,1,,,,,,
irn510672,1,,both issues in end,,,1,,,1,,
irn508469,,,,,,0,,,,,
irn512294,1,,,,,1,,,,,
irn509226,,,,,,0,,,,,
irn76754,1,0,end deviation from pdf,,,1,1,1,,,
irn68793,,,,,,,,,,,
irn504451,,,,,,0,,,,,
irn506649,,,,,,0,,,,,
irn62054,,,no trnscription,,,1,,,1,,
irn510687,,,,,,0,,,,,
irn506629,,,,,,0,,,,,
irn508474,,,,,,0,,,,,
irn504453,,,,,,0,,,,,
irn504757,1,0,,,,1,,,,,
irn507295,,,,,,,,,,,
irn504930,,,,,,,,,,,
irn507580,,,,,,,,,,,
irn511233,,,,,,,,,,,
irn508677,,,,,,,,,,,
irn504811,,,,,,,,,,,
irn506706,,,,,,,,,,,
irn504763,,,,,,,,,,,
irn511187,,,,,,,,,,,
irn510639,1,1,both isues in end,,,1,,,1,,
irn513373,0,,,,,1,,,,,
irn41517,1,,,,,1,,,,,
irn504909,,,,,,0,,,,,
irn511309,1,1,beginning and end deviation from pdf,,,1,,,1,,1
irn511054,0,1,missing chunkss of pdf,,,1,,,1,,
irn509160,1,,both issues in end,,,1,,,1,,
irn506735,,,,,,0,,,,,
irn511348,,,,,,,,,,,
irn518526,,,,,,,,,,,
irn514241,,,,,,,,,,,
irn504805,,,,,,,,,,,
irn507448,0,0,deviation from pdf,,1,1,,,,,1
irn510983,,,,,,,,,,,
irn511228,1,1,beginning and end deviation from pdf,,,1,,,1,,1
irn508642,,,,,,,,,,,
irn508633,,,,,,,,,,,
irn508687,1,1,,,,1,,,,,
irn508665,,,,,,,,,,,
irn538199,,,,1,,1,,,,,1
irn514120,,,,,,,,,,,
irn504922,,,,,,,,,,,
irn508657,,,,,,,,,,,
irn504700,,,,,,,,,,,
irn514869,,,,,,,,,,,
irn504807,,,,,,,,,,,
irn510483,,,,,,,,,,,
irn509139,,,,,,,,,,,
irn504718,,,,,,,,,,,
irn509148,,,,,,,,,,,
irn38059,,,,,,,,,,,
irn504860,,,,,,,,,,,
irn504758,,,,,,,,,,,
irn506709,,,,,,,,,,,
irn507574,,,,,,,,,,,
irn507471,,,,,,,,,,,
irn62052,,,,,,,,,,,
irn510661,,,,,,,,,,,
irn43819,,,,,,,,,,,
irn516089,,,,,,,,,,,
irn506638,,,,,,,,,,,
irn508729,,,,,,,,,,,
irn508993,,,,,,,,,,,
irn504924,,,,,,,,,,,
irn508628,,,,,,,,,,,
irn504839,,,,,,,,,,,
irn504746,,,,,,,,,,,
irn509173,,,,,,,,,,,
irn510633,,,,,,,,,,,
irn504796,,,,,,,,,,,
irn531233,,,,,,,,,,,
irn510677,,,,,,,,,,,
irn41516,,,,,,,,,,,
irn511234,,,,,,,,,,,
irn511326,,,,,,,,,,,
irn509059,,,,,,,,,,,
irn504850,,,,,,,,,,,
irn511259,1,1,beginning and end deviation from pdf,,,1,,,1,,
irn513376,,,,,,0,,,,,
irn538198,,,,1,,1,,,,,1
irn511305,1,1,end deviation from pdf,,,1,,,1,,
irn507528,,,,,,0,,,,,
irn515008,,,,,,0,,,,,
irn504843,1,0,,,,1,,,,,
irn511029,1,0,"end deviation from pdf, missing chunks of transcript",,,1,,,1,,
irn41725,,,,,,0,,,,,
irn508717,,0,,,,1,,,,,
irn510473,1,,both issues in end,,1,1,,,1,,
irn510746,0,,,,,1,,,,,
irn510703,1,,both issues in end,,,1,,,1,,
irn40060,,,,,,,,,,,
irn504447,,,,,,,,,,,
irn506723,,,,,,,,,,,
irn515650,,,,,,,,,,,
irn45099,,,,,,,,,,,
irn515834,,,,,,,,,,,
irn510726,,,,,,,,,,,
irn506734,,,,,,,,,,,
irn509116,,,,,,,,,,,
irn511310,,,,,,,,,,,
irn510605,,,,,,,,,,,
irn504936,,,,,,,,,,,
irn510689,,,,,,,,,,,
irn511279,,,,,,,,,,,
irn504575,,,,,,,,,,,
irn82914,,,,,,,,,,,
irn504920,,,pdf not available,,,1,,,1,,
irn508659,0,,,,,1,,,,,
irn515153,,,,,,0,,,,,
irn511335,,,,,,,,,,,
irn514099,,,,,,0,,,,,
irn509107,,,,,,,,,,,
irn510469,0,0,,,,1,,,,,
irn505564,,,,,,,,,,,
irn510484,1,1,both issus in end,,,1,,,1,,
irn506724,1,,,,,1,,,,,
irn509176,,,,,,0,,,,,
irn87783,,,,,,,,,,,
irn511339,,,,,,,,,,,
irn507487,,,,,,,,,,,
irn510604,,,,,,,,,,,
irn510466,,,,,,,,,,,
