,_id,collection,gender,testimony_id,testimony_title
55,5fbe346dd2f21737954e561e,USHMM,,irn511234,Oral history interview with Leon Chadajo and Renia Chadajo
56,5fbe346ed2f21737954e5669,USHMM,,irn511305,Oral history interview with Max Neselrot and Dora Neselrot
57,5fbe346ed2f21737954e56c3,USHMM,,irn510605,Oral history interview with Lilo Callman and Ann Callman
58,5fbe346ed2f21737954e56e8,Fortunoff,,HVT-4,Sylvia B. and Frances G. Holocaust testimony (HVT-4)
59,5fbe346ed2f21737954e5710,Fortunoff,,HVT-12,Dora and Salo R. Holocaust testimony (HVT-12)
60,5fbe346ed2f21737954e5715,Fortunoff,,HVT-13,Shmuel S. and Dora R. Holocaust testimony (HVT-13)
61,5fbe346ed2f21737954e571a,Fortunoff,,HVT-14,Kurt and Trude S. Holocaust testimony (HVT-14)
62,5fbe346ed2f21737954e573d,Fortunoff,,HVT-21,Doni and Anna S. Holocaust testimony (HVT-21)
63,5fbe346fd2f21737954e577e,Fortunoff,,HVT-34,Rosalie W. and Jolly Z. Holocaust testimony (HVT-34)
64,5fbe346fd2f21737954e5792,Fortunoff,,HVT-38,Libby and Sidney G. Holocaust testimony (HVT-38)
65,5fbe346fd2f21737954e57f1,Fortunoff,,HVT-57,Rose and Aaron M. Holocaust testimony (HVT-57)
66,5fbe346fd2f21737954e5814,Fortunoff,,HVT-64,Arnold and Lionel R. Holocaust testimony (HVT-64)
67,5fbe3470d2f21737954e5869,Fortunoff,,HVT-81,Henry and Chana F. Holocaust testimony (HVT-81)
68,5fbe3470d2f21737954e5891,Fortunoff,,HVT-89,Bronia and Nathan L. Holocaust testimony (HVT-89)
69,5fbe3470d2f21737954e58a5,Fortunoff,,HVT-93,Jacob and Mira B. Holocaust testimony (HVT-93)
70,5fbe3470d2f21737954e58d2,Fortunoff,,HVT-102,Eva and Carl S. Holocaust testimony (HVT-102)
71,5fbe3470d2f21737954e5918,Fortunoff,,HVT-116,Abe and Sari B. Holocaust testimony (HVT-116)
72,5fbe3471d2f21737954e5986,Fortunoff,,HVT-138,Abe and David F. Holocaust testimony (HVT-138)
73,5fbe3471d2f21737954e5990,Fortunoff,,HVT-140,David and Rosa G. Holocaust testimony (HVT-140)
74,5fbe3471d2f21737954e5995,Fortunoff,,HVT-141,Abraham P. and Morris P. Holocaust testimony (HVT-141)
75,5fbe3471d2f21737954e599a,Fortunoff,,HVT-144,Emina N. and Miriam W. Holocaust testimony (HVT-144)
76,5fbe3471d2f21737954e599f,Fortunoff,,HVT-145,Leon and Molly N. Holocaust testimony (HVT-145)
77,5fbe3471d2f21737954e59cc,Fortunoff,,HVT-154,"Albert, Gina, and Kurt K. Holocaust testimony (HVT-154)"
78,5fbe3471d2f21737954e59d6,Fortunoff,,HVT-156,Lois and Abraham J. Holocaust testimony (HVT-156)
79,5fbe3471d2f21737954e59f9,Fortunoff,,HVT-163,Pincus and Sylvia S. Holocaust testimony (HVT-163)
80,5fbe3471d2f21737954e5a12,Fortunoff,,HVT-168,Ruth W. and Maryann L. Holocaust testimony (HVT-168)
81,5fbe3471d2f21737954e5a67,Fortunoff,,HVT-185,David and Sonia F. Holocaust testimony (HVT-185)
