,0
619,Mühlhausen
1480,München-Allach
2958,Natzweiler
1189,Neckarelz
2624,Neckargerach
2016,Nekla
794,Neubrandenburg
1961,Neudachs
26,Neuengamme
2109,Neusalz
829,Neustadt in Holstein
204,Neustadt-Glewe
2928,Niederhagen
436,Niederorschel
2177,Nikolaev
22,Nordhausen
2142,Nosarzewo
417,Nováky
3160,Nowogródek
2851,Nürnberg
1628,Ober Altstadt
348,Ober-Hohenelbe
1174,Oberlangen
2994,Oberwüstegiersdorf
3015,Oderberg
1291,Oederan
170,Ohrdruf
399,Oranienburg
8,Oranienburg Heinkel-Werke
1738,Oranienburg-Heinkelwerke
609,Ostrowiec
1251,Ottmuth
2125,Paris
256,Parschnitz
18,Peterswaldau
1933,Petrikau
1871,Petrikau-Bugaj
386,Pionki
94,Plaszów
2106,Plawy
3151,Podbrodzie
2455,Poniatowa
253,Porta Westfalica
2206,Posen
373,Prokocim
3176,Pruszków
3116,Przedbórz
1467,Przemysl
1881,Pustkow-Lager A
652,Pustków
1540,Putzig
3073,Pöcking
804,Pölitz
1489,Pürschkau
852,Płaszów
1029,Płaszów
1771,Rabka
2202,Radom-Armee-Verpflegungslager
1851,Radom-Szkolna
1852,Radom-Szwarlikowska
2559,Raguhn
2072,Rakowice
1228,Ravensbrück
58,Ravensbrück
113,Rechlin
2536,Regensburg
1460,Reichenbach
2088,Reichshof-PZL
2232,Rensdorf
2481,Reppen
28,Riese
1537,Riga
1491,Riga-Kaiserwald
2548,Riga-Spilwe
2051,Riga-Strasdenhof
44,Rivesaltes
1896,Rothenburg
2100,Rothschwaige
1996,Ruda Opalin
7,Sachsenhausen
1530,Sackenhoym
1535,Sackisch
1157,Saint-Cyprien
1531,Sakrau
2862,Salaspils
1348,Salzwedel
572,Sandomierz
1700,Sankt Michael am Bruckbach
2021,Sarny
314,Sasel
1748,Sasów
714,Schachendorf
1525,Schatzlar
118,Schlieben
1664,Schoppinitz
1790,Schoten
1246,Schwarzheide
1532,Schönebeck
3017,Seibersdorf
267,Sered
1623,Sereď
3008,Siegmar-Schönau
116,Skarzysko-Kamienna
1182,Skarżysko-Kamienna
510,Skarżysko-Kamienna
1235,Sobibór
0,Sobibór
1020,Soldau-Dzialdowo
2581,Sonneberg
1887,Sonneberg-West
2164,Soski
378,Sosnowiec
1526,Sosnowitz
1906,Sosnowitz OSMAG
2474,Sosnowitz-Dulag
1201,Spaichingen
2179,Spittal
1762,St. Annaberg
1633,St. Georgen
1592,St. Valentin
2582,Stalowa Wola
611,Starachowice
1693,Starachowice-Julag II
1785,Staszów
2886,Steineck
594,Strasshof
699,Struthof
12,Stuthoff
2937,Stuttgart
37,Stutthof
2511,Sulejów
957,Szebnie
2292,Szopienice
1132,Sömmerda
2592,Tarchomin
2242,Taucha
3,Theresienstadt
1615,Thorn
2626,Tomaszów Mazowiecki
644,Trawniki
102,Treblinka
2593,Treblinka I
2904,Treblinka II
2196,Trunz
275,Trzebinia
84,Tröglitz
1502,Tschenstochau
1888,Tschenstochau-Czestochowianka
2036,Tschenstochau-Pelzery
2998,Tschenstochau-Warta
2852,Tul'chin
1727,Tutzing
667,Tîrgu Jiu
929,Türkheim
482,Unterlüss
1091,Unterriexingen
2458,Vaihingen
3012,Vaivara
2714,Venusberg
3013,Vivikond
257,Vught
2366,Waldenburg
1919,Warschau
2325,Watenstedt
2111,Weisswasser
65,Westerbork
160,Wieliczka
2745,Wien-Hinterbrühl
1461,Wiesau
233,Wiesengrund
593,Wilhelmshaven
2757,Wilischthal
2720,Wilna-Kailis
2408,Wisniówka
421,Wittenberg
628,Wolanów
2065,Wolfsberg
478,Wulkow
989,Wöbbelin
423,Wüstegiersdorf
1779,Zablocie
2461,Zagreb
1773,Zakopane
495,Zgoda
1552,Zittau
1963,Zossen-Wulkow bei Trebnitz
1749,Złoczów
266,Žilina
