"interview_id","missing_fields","website_url","recording_year","gender","interviewee_name"
"irn508909","['recording_year']","https://collections.ushmm.org/search/catalog/irn508909"
"irn508722","['media_url']","https://collections.ushmm.org/search/catalog/irn508722"
"irn514138","['interviewee_name']","https://collections.ushmm.org/search/catalog/irn514138"
"irn515621","['media_url']","https://collections.ushmm.org/search/catalog/irn515621"
"irn514131","['interviewee_name']","https://collections.ushmm.org/search/catalog/irn514131"
"irn43024","['recording_year']","https://collections.ushmm.org/search/catalog/irn43024"
"irn515643","['media_url']","https://collections.ushmm.org/search/catalog/irn515643"
"irn508739","['media_url']","https://collections.ushmm.org/search/catalog/irn508739"
"irn510615","['recording_year']","https://collections.ushmm.org/search/catalog/irn510615"
"irn508927","['recording_year']","https://collections.ushmm.org/search/catalog/irn508927"
"irn508923","['recording_year']","https://collections.ushmm.org/search/catalog/irn508923"
"irn504445","['media_url']","https://collections.ushmm.org/search/catalog/irn504445"
"irn515644","['media_url']","https://collections.ushmm.org/search/catalog/irn515644"
"irn508639","['media_url']","https://collections.ushmm.org/search/catalog/irn508639"
"irn508682","['media_url']","https://collections.ushmm.org/search/catalog/irn508682"
"irn508684","['media_url']","https://collections.ushmm.org/search/catalog/irn508684"
"irn508654","['media_url']","https://collections.ushmm.org/search/catalog/irn508654"
"irn514132","['interviewee_name']","https://collections.ushmm.org/search/catalog/irn514132"
"irn510624","['recording_year']","https://collections.ushmm.org/search/catalog/irn510624"
"irn514126","['interviewee_name']","https://collections.ushmm.org/search/catalog/irn514126"
"irn515626","['media_url']","https://collections.ushmm.org/search/catalog/irn515626"
"irn508663","['media_url']","https://collections.ushmm.org/search/catalog/irn508663"
"irn510629","['recording_year']","https://collections.ushmm.org/search/catalog/irn510629"
"irn508661","['media_url']","https://collections.ushmm.org/search/catalog/irn508661"
"irn510636","['recording_year']","https://collections.ushmm.org/search/catalog/irn510636"
"irn508660","['media_url']","https://collections.ushmm.org/search/catalog/irn508660"
"irn508627","['media_url']","https://collections.ushmm.org/search/catalog/irn508627"
"irn508622","['media_url']","https://collections.ushmm.org/search/catalog/irn508622"
"irn508895","['recording_year']","https://collections.ushmm.org/search/catalog/irn508895"
"irn508683","['media_url']","https://collections.ushmm.org/search/catalog/irn508683"
"irn504825","['media_url']","https://collections.ushmm.org/search/catalog/irn504825"
"irn511264","['recording_year']","https://collections.ushmm.org/search/catalog/irn511264"
"irn504899","['interviewee_name']","https://collections.ushmm.org/search/catalog/irn504899"
"irn508668","['media_url']","https://collections.ushmm.org/search/catalog/irn508668"
"irn508679","['media_url']","https://collections.ushmm.org/search/catalog/irn508679"
"irn508726","['media_url']","https://collections.ushmm.org/search/catalog/irn508726"
"irn508655","['media_url']","https://collections.ushmm.org/search/catalog/irn508655"
"irn508727","['media_url']","https://collections.ushmm.org/search/catalog/irn508727"
"irn508736","['media_url']","https://collections.ushmm.org/search/catalog/irn508736"
"irn508694","['media_url']","https://collections.ushmm.org/search/catalog/irn508694"
"irn508692","['media_url']","https://collections.ushmm.org/search/catalog/irn508692"
"irn515623","['media_url']","https://collections.ushmm.org/search/catalog/irn515623"
"irn508626","['media_url']","https://collections.ushmm.org/search/catalog/irn508626"
"irn508894","['recording_year']","https://collections.ushmm.org/search/catalog/irn508894"
"irn510612","['recording_year']","https://collections.ushmm.org/search/catalog/irn510612"
"irn515631","['media_url']","https://collections.ushmm.org/search/catalog/irn515631"
"irn508634","['media_url']","https://collections.ushmm.org/search/catalog/irn508634"
"irn508901","['recording_year']","https://collections.ushmm.org/search/catalog/irn508901"
"irn508647","['media_url']","https://collections.ushmm.org/search/catalog/irn508647"
"irn508969","['recording_year']","https://collections.ushmm.org/search/catalog/irn508969"
"irn508720","['media_url']","https://collections.ushmm.org/search/catalog/irn508720"
"irn508719","['media_url']","https://collections.ushmm.org/search/catalog/irn508719"
"irn508733","['media_url']","https://collections.ushmm.org/search/catalog/irn508733"
"irn508730","['media_url']","https://collections.ushmm.org/search/catalog/irn508730"
"irn509203","['recording_year']","https://collections.ushmm.org/search/catalog/irn509203"
"irn508635","['media_url']","https://collections.ushmm.org/search/catalog/irn508635"
"irn508884","['recording_year']","https://collections.ushmm.org/search/catalog/irn508884"
"irn514118","['interviewee_name']","https://collections.ushmm.org/search/catalog/irn514118"
"irn515622","['media_url']","https://collections.ushmm.org/search/catalog/irn515622"
"irn508741","['media_url']","https://collections.ushmm.org/search/catalog/irn508741"
"irn508672","['media_url']","https://collections.ushmm.org/search/catalog/irn508672"
"irn508649","['media_url']","https://collections.ushmm.org/search/catalog/irn508649"
"irn508724","['media_url']","https://collections.ushmm.org/search/catalog/irn508724"
"irn511065","['media_url']","https://collections.ushmm.org/search/catalog/irn511065"
"irn515646","['media_url']","https://collections.ushmm.org/search/catalog/irn515646"
"irn508625","['media_url']","https://collections.ushmm.org/search/catalog/irn508625"
"irn508493","['media_url']","https://collections.ushmm.org/search/catalog/irn508493"
"irn508952","['recording_year']","https://collections.ushmm.org/search/catalog/irn508952"
"irn508698","['media_url']","https://collections.ushmm.org/search/catalog/irn508698"
"irn515630","['media_url']","https://collections.ushmm.org/search/catalog/irn515630"
"irn508637","['media_url']","https://collections.ushmm.org/search/catalog/irn508637"
"irn515625","['media_url']","https://collections.ushmm.org/search/catalog/irn515625"
"irn508700","['media_url']","https://collections.ushmm.org/search/catalog/irn508700"
"irn504893","['interviewee_name']","https://collections.ushmm.org/search/catalog/irn504893"
"irn508723","['media_url']","https://collections.ushmm.org/search/catalog/irn508723"
